NGC891;2h22.6m;+42°21';ANDROMEDA;Galaxy Type Sb;9.9;12'x2';Distance : 7 Mly
NGC404;1h9.4m;+35°43';ANDROMEDA;Galaxy Type E-S0;10.3;4'x4';Distance : 4 Mly
NGC7727;23h39.9m;-12°18';AQUARIUS;Galaxy Type SBa/P;10.6;5'x4';Distance : 26 Mly
NGC7606;23h19.1m;-8°29';AQUARIUS;Galaxy Type Sb;10.8;5'x2';Distance : 31 Mly
NGC6790;19h23m;+1°31';AQUILAE;Planetary Nebula;10.5;;Distance : 10000 ly
NGC6756;19h8.7m;+4°42';AQUILAE;Open Cluster Type I2m;10.6;4';Distance : 4900 ly
NGC772;1h59.3m;+19°0';ARIES;Galaxy Type Sb;10.3;7'x4';Distance : 35 Mly
NGC821;2h8.4m;+10°60';ARIES;Galaxy Type E6;10.7;2'x2';Distance : 24 Mly
NGC1798;5h11.7m;+47°42';AURIGA;Open Cluster Type II2m;10;5';Distance : 11600 ly
NGC1931;5h31.4m;+34°15';AURIGA;Em Nebula + Open Cluster;10.1;;Distance : 10000 al
NGC2126;6h2.5m;+49°52';AURIGA;Open Cluster Type II1p;10.2;6';Distance : 3900 ly
NGC2192;6h15.3m;+39°51';AURIGA;Open Cluster Type III1p;10.9;5';Distance : 8200 ly
NGC5248;13h37.5m;+8°53';BOOTES;Galaxy Type SBbc;10.3;6'x5';Distance : 16 Mly
NGC5557;14h18.4m;+36°30';BOOTES;Galaxy Type E1;11;2'x2';Distance : 45 Mly
NGC2655;8h55.6m;+78°13';CAMELOPARDA;Galaxy Type SB0-a;10.1;5'x4';Distance : 20 Mly
NGC2336;7h27.1m;+80°11';CAMELOPARDA;Galaxy Type SBbc;10.4;7'x4';Distance : 31 Mly
NGC2146;6h18.6m;+78°21';CAMELOPARDA;Galaxy Type SBab/P;10.6;5'x3';Distance : 13 Mly
NGC1569;4h30.8m;+64°51';CAMELOPARDA;Galaxy Type IBm;11;4'x2';Distance : 3 Mly
NGC1961;5h42.1m;+69°23';CAMELOPARDA;Galaxy Type SBbc;11;5'x3';Distance : 55 Mly
NGC2775;9h10.3m;+7°2';CANCER;Galaxy Type Sab;10.1;4'x3';Distance : 19 Mly
NGC4214;12h15.6m;+36°20';CANES VENAT;Galaxy Type IBm;9.8;8'x7';Distance : 4 Mly
NGC5005;13h10.9m;+37°4';CANES VENAT;Galaxy Type SBbc;9.8;6'x3';Distance : 13 Mly
NGC4490;12h30.6m;+41°39';CANES VENAT;Galaxy Type SBcd;9.8;6'x3';Distance : 8 Mly
NGC4395;12h25.8m;+33°33';CANES VENAT;Galaxy Type SBm;10.2;13'x11';Distance : 4 Mly
NGC5033;13h13.5m;+36°36';CANES VENAT;Galaxy Type Sc;10.2;11'x5';Distance : 12 Mly
NGC4244;12h17.5m;+37°48';CANES VENAT;Galaxy Type Sc;10.4;17'x2';Distance : 3 Mly
NGC4656;12h44m;+32°10';CANES VENAT;Galaxy Type SBm;10.5;15'x2';Distance : 9 Mly
NGC5390;13h55.7m;+40°28';CANES VENAT;Galaxy Type SBbc;10.6;4'x3';Distance : 36 Mly
NGC4111;12h7m;+43°4';CANES VENAT;Galaxy Type S0-a;10.7;5'x1';Distance : 11 Mly
NGC4151;12h10.5m;+39°24';CANES VENAT;Galaxy Type SBab;10.8;6'x5';Distance : 14 Mly
NGC4618;12h41.6m;+41°9';CANES VENAT;Galaxy Type SBm;10.8;4'x3';Distance : 8 Mly
NGC4242;12h17.5m;+45°37';CANES VENAT;Galaxy Type SBd;10.8;5'x4';Distance : 7 Mly
NGC4143;12h9.6m;+42°32';CANES VENAT;Galaxy Type SB0;10.9;2'x1';Distance : 13 Mly
NGC5353;13h53.4m;+40°17';CANES VENAT;Galaxy Type S0;11;2'x1';Distance : 33 Mly
NGC103;0h25.3m;+61°19';CASSIOPEIA;Open Cluster Type II2p;9.8;5';Distance : 3600 ly
NGC278;0h52.1m;+47°33';CASSIOPEIA;Galaxy Type SBb;10.8;2'x2';Distance : 9 Mly
NGC609;1h36.4m;+64°32';CASSIOPEIA;Open Cluster Type II3r;11;3';Distance : 13000 ly
NGC7762;23h50m;+68°2';CEPHEUS;Open Cluster Type II2p;10;15';Distance : 2400 ly
NGC6952;20h37.2m;+66°6';CEPHEUS;Galaxy Type SBbc;10.7;4'x3';Distance : 20 Mly
NGC2300;7h32.3m;+85°43';CEPHEUS;Galaxy Type E-S0;11;3'x2';Distance : 27 Mly
NGC936;2h27.6m;-1°9';CETUS;Galaxy Type SB0-a;10.2;5'x4';Distance : 20 Mly
NGC720;1h53m;-13°44';CETUS;Galaxy Type E5;10.2;5'x2';Distance : 25 Mly
NGC908;2h23.1m;-21°14';CETUS;Galaxy Type SBc;10.2;6'x3';Distance : 21 Mly
NGC157;0h34.8m;-8°24';CETUS;Galaxy Type SBbc;10.4;4'x2';Distance : 23 Mly
NGC584;1h31.3m;-6°52';CETUS;Galaxy Type E4;10.5;4'x2';Distance : 25 Mly
NGC1052;2h41.1m;-8°15';CETUS;Galaxy Type E4;10.5;3'x2';Distance : 21 Mly
NGC1055;2h41.8m;+0°27';CETUS;Galaxy Type SBb;10.6;8'x3';Distance : 14 Mly
NGC864;2h15.5m;+6°0';CETUS;Galaxy Type SBc;10.9;5'x4';Distance : 22 Mly
NGC1087;2h46.4m;-0°30';CETUS;Galaxy Type SBc;10.9;4'x2';Distance : 21 Mly
NGC246;0h47.1m;-11°52';CETUS;Planetary Nebula;10.9;4';Distance : 1700 ly
NGC210;0h40.6m;-13°52';CETUS;Galaxy Type SBb;10.9;5'x3';Distance : 23 Mly
NGC596;1h32.9m;-7°2';CETUS;Galaxy Type E4;10.9;3'x2';Distance : 26 Mly
NGC1073;2h43.7m;+1°23';CETUS;Galaxy Type SBc;11;5'x4';Distance : 17 Mly
NGC1042;2h40.4m;-8°26';CETUS;Galaxy Type SBc;11;4'x4';Distance : 19 Mly
NGC988;2h35.5m;-9°21';CETUS;Galaxy Type SBc;11;4'x2';Distance : 21 Mly
NGC4494;12h31.4m;+25°47';COMA BERENI;Galaxy Type E1;9.8;5'x4';Distance : 19 Mly
NGC4559;12h36m;+27°58';COMA BERENI;Galaxy Type SBc;10;11'x4';Distance : 11 Mly
NGC4450;12h28.5m;+17°5';COMA BERENI;Galaxy Type Sab;10.1;5'x4';Distance : 28 Mly
NGC4414;12h26.5m;+31°13';COMA BERENI;Galaxy Type Sc;10.1;4'x3';Distance : 10 Mly
NGC4473;12h29.8m;+13°26';COMA BERENI;Galaxy Type E5;10.2;5'x3';Distance : 32 Mly
NGC4278;12h20.1m;+29°17';COMA BERENI;Galaxy Type E1;10.2;4'x4';Distance : 9 Mly
NGC4477;12h30m;+13°38';COMA BERENI;Galaxy Type SB0;10.4;4'x3';Distance : 19 Mly
NGC4459;12h29m;+13°59';COMA BERENI;Galaxy Type S0-a;10.4;4'x3';Distance : 17 Mly
NGC4293;12h21.2m;+18°23';COMA BERENI;Galaxy Type SB0-a;10.4;6'x3';Distance : 13 Mly
NGC4147;12h10.1m;+18°33';COMA BERENI;Globular Cluster type VI;10.4;4';Distance : 62000 ly
NGC4274;12h19.8m;+29°37';COMA BERENI;Galaxy Type SBab;10.4;7'x2';Distance : 13 Mly
NGC4314;12h22.5m;+29°54';COMA BERENI;Galaxy Type SBa;10.6;4'x4';Distance : 14 Mly
NGC4251;12h18.1m;+28°11';COMA BERENI;Galaxy Type SB0;10.7;4'x2';Distance : 15 Mly
NGC4651;12h43.7m;+16°24';COMA BERENI;Galaxy Type Sc/P;10.8;4'x3';Distance : 11 Mly
NGC4394;12h25.9m;+18°13';COMA BERENI;Galaxy Type SBb;10.9;3'x3';Distance : 13 Mly
NGC4203;12h15.1m;+33°12';COMA BERENI;Galaxy Type E/SB0;10.9;4'x3';Distance : 15 Mly
NGC4689;12h47.8m;+13°46';COMA BERENI;Galaxy Type Sbc;11;4'x4';Distance : 23 Mly
NGC4710;12h49.6m;+15°10';COMA BERENI;Galaxy Type S0-a;11;5'x1';Distance : 16 Mly
NGC4350;12h24m;+16°42';COMA BERENI;Galaxy Type S0;11;3'x2';Distance : 17 Mly
NGC4038;12h1.9m;-18°52';CORVUS;Galaxy Type SBm;10.3;3'x2';Distance : 23 Mly
NGC4039;12h1.9m;-18°53';CORVUS;Galaxy Type SBm;10.3;3'x2';Distance : 23 Mly
