Sgr A*;17h45.7m;-29°0';SAGITTARIUS;black hole;-;;Exact position of the center of our galaxy : Sagittarius A*
Cr302;16h26m;-26°13m;SCORPIUS;open cluster;1;30300;Antares Cl.
Cr329;17h24.8m;-30°0m;SCORPIUS;open cluster;11.7;240;Trumpler 25
Cr331;17h28.5m;-29°29m;SCORPIUS;open cluster;9.5;1020;Trumpler 26
Cr333;17h31.3m;-34°5m;SCORPIUS;open cluster;9.8;300;
Cr336;17h36.2m;-33°29m;SCORPIUS;open cluster;6.7;360;Trumpler 27
Cr337;17h36.8m;-32°29m;SCORPIUS;open cluster;7.7;750;Trumpler 28
Cr345;17h44.6m;-33°52m;SCORPIUS;open cluster;10.9;288;
Cr355;17h56m;-35°19m;SCORPIUS;open cluster;8.8;;Trumpler 30
AH Scorpi;17h11.3m;-32°20';SCORPIUS;supergiant star;6.5 to 9.6;;1411 x Sun
Cr387;18h39.8m;-08°29m;SCUTUM;open cluster;8.6;420;"	Trumpler 34"
Cr388;18h42.9m;-04°8m;SCUTUM;open cluster;9.2;540;Trumpler 35
UY Scuti;18h27.6m;-12°28';SCUTUM;supergiant star;6.5 to 9.6;;1708 x Sun
Cr372;18h17.2m;-13°21m;SERPENS CAU;open cluster;12.2;360;Trumpler 32
Cr65;05h25.1m;+15°42m;TAURUS;open cluster;3;13200;
Cr21;01h50.2m;+27°5m;TRIANGULUM;asterism;7.3;420;
Mkr 421;11h04.5m;+38°12';URSA MAJOR;quasar;13.5;;400 millions light year
3C273;12h29.1m;+2°3';VIRGO;quasar;12.9;;2.44 billions light year
Cr399;19h26.2m;+20Â°06';VULPECULA;asterism;3.5;90;Coathanger
