NGC7391;22h50.6m;-1°33';AQUARIUS;Galaxy Type E1;11.9;2'x2';Distance : 43 Mly
NGC7218;22h10.2m;-16°40';AQUARIUS;Galaxy Type SBc;12;3'x1';Distance : 23 Mly
NGC7183;22h2.4m;-18°55';AQUARIUS;Galaxy Type S0-a;12;4'x1';Distance : 37 Mly
NGC7600;23h18.9m;-7°35';AQUARIUS;Galaxy Type E-S0;12;3'x1';Distance : 49 Mly
NGC6748;19h5.9m;-5°60';AQUILAE;Planetary Nebula;11.9;;Distance : 6500 ly
NGC6837;19h53.1m;+11°42';AQUILAE;Galaxy Type OCL;12;3';Distance : 3100 ly
NGC6807;19h34.6m;+5°41';AQUILAE;Planetary Nebula;12;;Distance : 41400 ly
NGC6804;19h31.6m;+9°14';AQUILAE;Planetary Nebula;12;1';Distance : 2900 ly
NGC1156;2h59.7m;+25°14';ARIES;Galaxy Type IBm;11.7;3'x2';Distance : 5 Mly
NGC877;2h18m;+14°33';ARIES;Galaxy Type SBbc;11.9;2'x2';Distance : 55 Mly
NGC680;1h49.8m;+21°58';ARIES;Galaxy Type E1;11.9;2'x2';Distance : 39 Mly
NGC697;1h51.3m;+22°21';ARIES;Galaxy Type SBbc;12;4'x1';Distance : 44 Mly
NGC5614;14h24.1m;+34°52';BOOTES;Galaxy Type Sab;11.7;2'x2';Distance : 55 Mly
NGC5899;15h15.1m;+42°3';BOOTES;Galaxy Type SBc;11.7;3'x1';Distance : 36 Mly
NGC5656;14h30.4m;+35°19';BOOTES;Galaxy Type Sab;11.8;2'x2';Distance : 45 Mly
NGC5533;14h16.1m;+35°21';BOOTES;Galaxy Type Sab;11.8;3'x2';Distance : 54 Mly
NGC5687;14h34.9m;+54°29';BOOTES;Galaxy Type E-S0;11.8;3'x2';Distance : 30 Mly
NGC5532A;14h16.9m;+10°48';BOOTES;Galaxy Type S0;11.9;2'x2';Distance : 104 Mly
NGC5529;14h15.6m;+36°14';BOOTES;Galaxy Type Sc;11.9;6'x1';Distance : 41 Mly
NGC5689;14h35.5m;+48°45';BOOTES;Galaxy Type SB0-a;11.9;3'x1';Distance : 30 Mly
NGC5660;14h29.8m;+49°37';BOOTES;Galaxy Type SBc;11.9;3'x3';Distance : 33 Mly
NGC1573;4h35.1m;+73°16';CAMELOPARDA;Galaxy Type E3;11.7;2'x1';Distance : 59 Mly
NGC2748;9h13.7m;+76°29';CAMELOPARDA;Galaxy Type Sbc;11.7;3'x1';Distance : 21 Mly
NGC2460;7h56.9m;+60°21';CAMELOPARDA;Galaxy Type Sab;11.8;3'x2';Distance : 20 Mly
NGC2523;8h15m;+73°35';CAMELOPARDA;Galaxy Type SBbc;11.9;3'x2';Distance : 49 Mly
NGC2258;6h47.8m;+74°29';CAMELOPARDA;Galaxy Type S0;11.9;2'x2';Distance : 57 Mly
NGC2732;9h13.4m;+79°11';CAMELOPARDA;Galaxy Type S0;11.9;2'x1';Distance : 28 Mly
NGC2672;8h49.4m;+19°4';CANCER;Galaxy Type E1;11.7;3'x3';Distance : 61 Mly
NGC2648;8h42.7m;+14°17';CANCER;Galaxy Type Sa;11.8;3'x1';Distance : 29 Mly
NGC2749;9h5.4m;+18°19';CANCER;Galaxy Type E3;11.8;2'x1';Distance : 59 Mly
NGC2750;9h5.8m;+25°26';CANCER;Galaxy Type Sc;11.9;2'x2';Distance : 38 Mly
NGC4369;12h24.6m;+39°23';CANES VENAT;Galaxy Type Sa;11.7;2'x2';Distance : 15 Mly
NGC4389;12h25.6m;+45°41';CANES VENAT;Galaxy Type SBbc/P;11.7;3'x1';Distance : 10 Mly
NGC5297;13h46.4m;+43°52';CANES VENAT;Galaxy Type SBc;11.8;6'x1';Distance : 34 Mly
NGC5198;13h30.2m;+46°40';CANES VENAT;Galaxy Type E1;11.8;2'x2';Distance : 36 Mly
NGC5127;13h23.8m;+31°34';CANES VENAT;Galaxy Type E2;11.9;3'x2';Distance : 69 Mly
NGC5444;14h3.4m;+35°8';CANES VENAT;Galaxy Type E2;11.9;3'x2';Distance : 56 Mly
NGC5326;13h50.8m;+39°35';CANES VENAT;Galaxy Type Sab;11.9;2'x1';Distance : 36 Mly
NGC4485;12h30.5m;+41°42';CANES VENAT;Galaxy Type IBm/P;11.9;2'x2';Distance : 7 Mly
NGC6903;20h23.7m;-19°20';CAPRICORNUS;Galaxy Type E/SB0;11.9;2'x2';Distance : 47 Mly
NGC521;1h24.6m;+1°44';CETUS;Galaxy Type SBbc;11.7;3'x2';Distance : 71 Mly
NGC895;2h21.6m;-5°31';CETUS;Galaxy Type Sc;11.7;4'x3';Distance : 32 Mly
NGC991;2h35.5m;-7°9';CETUS;Galaxy Type SBc;11.7;3'x3';Distance : 22 Mly
NGC1090;2h46.6m;-0°15';CETUS;Galaxy Type SBbc;11.8;4'x2';Distance : 39 Mly
NGC450;1h15.5m;-0°52';CETUS;Galaxy Type SBc;11.8;3'x2';Distance : 25 Mly
NGC274;0h51m;-7°3';CETUS;Galaxy Type E/SB0;11.8;1'x1';Distance : 25 Mly
NGC1070;2h43.4m;+4°58';CETUS;Galaxy Type Sb;11.9;2'x2';Distance : 58 Mly
NGC255;0h47.8m;-11°28';CETUS;Galaxy Type SBbc;11.9;3'x3';Distance : 22 Mly
NGC309;0h56.7m;-9°55';CETUS;Galaxy Type SBc;11.9;3'x2';Distance : 80 Mly
NGC4189;12h13.8m;+13°25';COMA BERENI;Galaxy Type SBc;11.7;3'x2';Distance : 30 Mly
NGC4312;12h22.5m;+15°32';COMA BERENI;Galaxy Type Sab;11.7;5'x1';Distance : 2 Mly
NGC4540;12h34.8m;+15°33';COMA BERENI;Galaxy Type SBc;11.7;2'x2';Distance : 18 Mly
NGC4379;12h25.2m;+15°36';COMA BERENI;Galaxy Type E-S0;11.7;2'x2';Distance : 15 Mly
NGC4872;12h59.6m;+27°58';COMA BERENI;Galaxy Type E0;11.7;2'x2';Distance : 101 Mly
NGC4037;12h1.4m;+13°24';COMA BERENI;Galaxy Type SBb;11.9;2'x2';Distance : 13 Mly
NGC4377;12h25.2m;+14°46';COMA BERENI;Galaxy Type E-S0;11.9;2'x1';Distance : 19 Mly
NGC5172;13h29.3m;+17°3';COMA BERENI;Galaxy Type SBbc;11.9;3'x2';Distance : 57 Mly
NGC4782;12h54.6m;-12°34';CORVUS;Galaxy Type E1;11.7;2'x2';Distance : 65 Mly
NGC4033;12h0.6m;-17°51';CORVUS;Galaxy Type E6;11.7;2'x1';Distance : 23 Mly
NGC4024;11h58.5m;-18°21';CORVUS;Galaxy Type E/SB0;11.7;2'x2';Distance : 24 Mly
NGC4740;12h51m;-14°20';CORVUS;Galaxy Type SBbc;11.8;2'x1';Distance : 106 Mly
NGC3957;11h54m;-19°34';CRATER;Galaxy Type S0-a;11.8;3'x1';Distance : 23 Mly
NGC3763;11h36.5m;-9°51';CRATER;Galaxy Type SBc;11.8;1'x1';Distance : 83 Mly
NGC3497;11h7.3m;-19°28';CRATER;Galaxy Type S0;11.9;3'x2';Distance : 52 Mly
NGC3660;11h23.5m;-8°40';CRATER;Galaxy Type SBbc;11.9;3'x2';Distance : 52 Mly
NGC6764;19h8.3m;+50°56';CYGNUS;Galaxy Type SBbc;11.9;2'x1';Distance : 34 Mly
NGC5905;15h15.4m;+55°31';DRACO;Galaxy Type SBb;11.7;4'x3';Distance : 48 Mly
NGC5965;15h34m;+56°41';DRACO;Galaxy Type Sb;11.7;5'x1';Distance : 48 Mly
NGC5987;15h39.9m;+58°5';DRACO;Galaxy Type Sb;11.7;4'x1';Distance : 42 Mly
NGC6223;16h43.1m;+61°35';DRACO;Galaxy Type E-S0;11.7;4'x3';Distance : 81 Mly
