NGC80;0h21.2m;+22°21';ANDROMEDA;Galaxy Type E-S0;12.1;2'x2';Distance : 80 Mly
NGC108;0h26m;+29°13';ANDROMEDA;Galaxy Type SB0-a;12.1;2'x2';Distance : 67 Mly
NGC529;1h25.7m;+34°43';ANDROMEDA;Galaxy Type E-S0;12.1;2'x2';Distance : 68 Mly
NGC847;2h12.2m;+44°34';ANDROMEDA;Galaxy Type SBab;12.1;2'x2';Distance : 72 Mly
NGC910;2h25.4m;+41°49';ANDROMEDA;Galaxy Type E0;12.2;2'x2';Distance : 73 Mly
NGC6962;20h47.3m;+0°19';AQUARIUS;Galaxy Type SBab;12.1;3'x2';Distance : 59 Mly
NGC7171;22h1m;-13°16';AQUARIUS;Galaxy Type SBb;12.2;3'x2';Distance : 38 Mly
NGC6915;20h27.8m;-3°5';AQUILAE;Galaxy Type Sab;12.2;2'x1';Distance : 80 Mly
NGC1012;2h39.2m;+30°9';ARIES;Galaxy Type S0-a;12;3'x1';Distance : 14 Mly
NGC1024;2h39.2m;+10°51';ARIES;Galaxy Type Sab;12.1;4'x2';Distance : 50 Mly
NGC1134;2h53.7m;+13°1';ARIES;Galaxy Type Sb;12.2;3'x1';Distance : 51 Mly
NGC677;1h49.2m;+13°3';ARIES;Galaxy Type E0;12.2;2'x2';Distance : 72 Mly
NGC918;2h25.8m;+18°30';ARIES;Galaxy Type SBc;12.2;4'x2';Distance : 21 Mly
NGC678;1h49.4m;+21°60';ARIES;Galaxy Type SBb;12.2;5'x1';Distance : 40 Mly
NGC1883;5h25.9m;+46°29';AURIGA;Open Cluster Type II3p;12;5';Distance : 15700 ly
NGC5665;14h32.4m;+8°5';BOOTES;Galaxy Type SBc;12;2'x1';Distance : 31 Mly
NGC5600;14h23.8m;+14°38';BOOTES;Galaxy Type Sc;12.1;1'x1';Distance : 33 Mly
NGC5490A;14h10m;+17°33';BOOTES;Galaxy Type E2;12.1;2'x2';Distance : 68 Mly
NGC5629;14h28.3m;+25°51';BOOTES;Galaxy Type S0;12.1;2'x2';Distance : 63 Mly
NGC5739;14h42.5m;+41°51';BOOTES;Galaxy Type SB0-a;12.1;2'x2';Distance : 76 Mly
NGC5673;14h31.5m;+49°58';BOOTES;Galaxy Type SBc;12.1;2'x1';Distance : 29 Mly
NGC5523;14h14.9m;+25°19';BOOTES;Galaxy Type Sc;12.2;5'x1';Distance : 15 Mly
NGC5653;14h30.2m;+31°13';BOOTES;Galaxy Type Sb;12.2;2'x1';Distance : 50 Mly
NGC5966;15h35.9m;+39°46';BOOTES;Galaxy Type E4;12.2;2'x1';Distance : 63 Mly
NGC5930;15h26.1m;+41°41';BOOTES;Galaxy Type SBb/P;12.2;1'x1';Distance : 37 Mly
NGC2634;8h48.4m;+73°58';CAMELOPARDA;Galaxy Type E1;12;2'x2';Distance : 32 Mly
NGC2551;8h24.8m;+73°25';CAMELOPARDA;Galaxy Type Sa;12.1;2'x1';Distance : 33 Mly
NGC2646;8h50.4m;+73°28';CAMELOPARDA;Galaxy Type SB0;12.1;1'x1';Distance : 52 Mly
NGC2441;7h51.9m;+73°1';CAMELOPARDA;Galaxy Type SBb;12.2;2'x2';Distance : 49 Mly
NGC2633;8h48.1m;+74°6';CAMELOPARDA;Galaxy Type SBb/P;12.2;2'x2';Distance : 30 Mly
NGC2314;7h10.5m;+75°20';CAMELOPARDA;Galaxy Type E3;12.2;1'x1';Distance : 54 Mly
NGC2591;8h37.4m;+78°2';CAMELOPARDA;Galaxy Type Sc;12.2;3'x1';Distance : 19 Mly
NGC2554;8h17.9m;+23°28';CANCER;Galaxy Type S0-a;12;3'x2';Distance : 59 Mly
NGC2507;8h1.6m;+15°43';CANCER;Galaxy Type S0-a;12.2;3'x2';Distance : 64 Mly
NGC2563;8h20.6m;+21°4';CANCER;Galaxy Type S0;12.2;2'x2';Distance : 63 Mly
NGC2599;8h32.2m;+22°34';CANCER;Galaxy Type Sa;12.2;2'x2';Distance : 67 Mly
NGC3167;9h15m;+29°44';CANCER;Galaxy Type SB0-a;12.2;2'x1';Distance : 89 Mly
NGC5313;13h49.7m;+39°59';CANES VENAT;Galaxy Type Sb;12;2'x1';Distance : 36 Mly
NGC5351;13h53.5m;+37°55';CANES VENAT;Galaxy Type SBb;12.1;3'x2';Distance : 51 Mly
NGC5112;13h21.9m;+38°44';CANES VENAT;Galaxy Type SBc;12.1;4'x3';Distance : 14 Mly
NGC5320;13h50.3m;+41°22';CANES VENAT;Galaxy Type SBc;12.1;4'x2';Distance : 37 Mly
NGC4868;12h59.2m;+37°19';CANES VENAT;Galaxy Type Sab;12.2;2'x1';Distance : 66 Mly
NGC5173;13h28.4m;+46°36';CANES VENAT;Galaxy Type E1;12.2;1'x1';Distance : 34 Mly
NGC2485;7h56.8m;+7°29';CANIS MINOR;Galaxy Type Sa;12.2;2'x1';Distance : 65 Mly
NGC7354;22h40.3m;+61°17';CEPHEUS;Planetary Nebula;12.2;1';Distance : 7200 ly
NGC271;0h50.7m;-1°55';CETUS;Galaxy Type SBab;12;2'x2';Distance : 58 Mly
NGC955;2h30.6m;-1°7';CETUS;Galaxy Type Sab;12;3'x1';Distance : 21 Mly
NGC681;1h49.2m;-10°26';CETUS;Galaxy Type SBab;12;3'x2';Distance : 25 Mly
NGC357;1h3.4m;-6°20';CETUS;Galaxy Type SB0-a;12;3'x2';Distance : 34 Mly
NGC1015;2h38.2m;-1°19';CETUS;Galaxy Type SBa;12.1;2'x2';Distance : 37 Mly
NGC541;1h25.7m;-1°23';CETUS;Galaxy Type E-S0;12.1;2'x2';Distance : 76 Mly
NGC448;1h15.3m;-1°38';CETUS;Galaxy Type E-S0;12.1;2'x1';Distance : 26 Mly
NGC945;2h28.6m;-10°32';CETUS;Galaxy Type SBc;12.1;2'x2';Distance : 63 Mly
NGC835;2h9.4m;-10°8';CETUS;Galaxy Type SBab/P;12.1;1'x1';Distance : 57 Mly
NGC788;2h1.1m;-6°49';CETUS;Galaxy Type S0-a;12.1;2'x1';Distance : 57 Mly
NGC757;1h54.9m;-9°1';CETUS;Galaxy Type E0;12.1;2'x2';Distance : 54 Mly
NGC1107;2h49.3m;+8°6';CETUS;Galaxy Type S0;12.2;2'x2';Distance : 48 Mly
NGC545;1h26m;-1°20';CETUS;Galaxy Type E-S0;12.2;3'x2';Distance : 75 Mly
NGC547;1h26m;-1°21';CETUS;Galaxy Type E1;12.2;2'x2';Distance : 77 Mly
NGC227;0h42.6m;-1°32';CETUS;Galaxy Type E-S0;12.2;2'x1';Distance : 75 Mly
NGC175;0h37.4m;-19°56';CETUS;Galaxy Type SBab;12.2;2'x2';Distance : 55 Mly
NGC958;2h30.7m;-2°56';CETUS;Galaxy Type SBc;12.2;3'x1';Distance : 81 Mly
NGC337A;1h1.6m;-7°35';CETUS;Galaxy Type SBdm;12.2;7'x5';Distance : 15 Mly
NGC1035;2h39.5m;-8°8';CETUS;Galaxy Type Sc;12.2;2'x1';Distance : 17 Mly
NGC701;1h51.1m;-9°42';CETUS;Galaxy Type SBc;12.2;3'x1';Distance : 26 Mly
NGC4405;12h26.1m;+16°11';COMA BERENI;Galaxy Type S0-a;12;2'x1';Distance : 25 Mly
NGC4489;12h30.9m;+16°46';COMA BERENI;Galaxy Type E1;12;2'x2';Distance : 14 Mly
NGC4539;12h34.6m;+18°12';COMA BERENI;Galaxy Type SBa;12;3'x1';Distance : 20 Mly
NGC4659;12h44.5m;+13°30';COMA BERENI;Galaxy Type S0-a;12.1;2'x1';Distance : 7 Mly
NGC4595;12h39.9m;+15°18';COMA BERENI;Galaxy Type SBb;12.1;2'x1';Distance : 9 Mly
NGC4383;12h25.4m;+16°28';COMA BERENI;Galaxy Type Sa;12.1;2'x1';Distance : 24 Mly
NGC4498;12h31.7m;+16°51';COMA BERENI;Galaxy Type SBc;12.1;3'x1';Distance : 21 Mly
NGC4158;12h11.2m;+20°11';COMA BERENI;Galaxy Type Sb;12.1;2'x2';Distance : 35 Mly
NGC4839;12h57.4m;+27°30';COMA BERENI;Galaxy Type E5;12.1;4'x2';Distance : 104 Mly
NGC4789;12h54.3m;+27°4';COMA BERENI;Galaxy Type S0;12.1;2'x2';Distance : 118 Mly
NGC4104;12h6.6m;+28°10';COMA BERENI;Galaxy Type SB0;12.1;3'x2';Distance : 119 Mly
NGC4185;12h13.4m;+28°31';COMA BERENI;Galaxy Type Sbc;12.1;3'x2';Distance : 55 Mly
NGC4283;12h20.3m;+29°19';COMA BERENI;Galaxy Type E0;12.1;2'x2';Distance : 14 Mly
NGC4152;12h10.6m;+16°2';COMA BERENI;Galaxy Type SBc;12.2;2'x2';Distance : 31 Mly
NGC4162;12h11.9m;+24°7';COMA BERENI;Galaxy Type Sbc;12.2;2'x1';Distance : 36 Mly
NGC4921;13h1.4m;+27°53';COMA BERENI;Galaxy Type SBab;12.2;2'x2';Distance : 77 Mly
NGC4169;12h12.3m;+29°11';COMA BERENI;Galaxy Type S0;12.2;2'x1';Distance : 53 Mly
NGC4310;12h22.4m;+29°12';COMA BERENI;Galaxy Type SB0;12.2;2'x1';Distance : 13 Mly
NGC4525;12h33.9m;+30°17';COMA BERENI;Galaxy Type SBc;12.2;3'x1';Distance : 17 Mly
NGC4094;12h5.9m;-14°32';CORVUS;Galaxy Type SBc;12;4'x2';Distance : 20 Mly
NGC4050;12h2.9m;-16°22';CORVUS;Galaxy Type SBab;12.2;3'x2';Distance : 25 Mly
NGC3854;11h44.9m;-9°14';CRATER;Galaxy Type SBb;12;2'x2';Distance : 80 Mly
NGC3571;11h11.5m;-18°17';CRATER;Galaxy Type SBa;12.1;3'x1';Distance : 53 Mly
NGC7044;21h13.2m;+42°30';CYGNUS;Open Cluster Type II2r;12;7';Distance : 10300 ly
NGC7048;21h14.3m;+46°17';CYGNUS;Planetary Nebula;12.1;1';Distance : 3200 ly
NGC6833;19h49.8m;+48°58';CYGNUS;Planetary Nebula;12.1;;Distance : 3200 ly
NGC6824;19h43.7m;+56°7';CYGNUS;Galaxy Type Sab;12.2;2'x1';Distance : 48 Mly
NGC6928;20h32.8m;+9°56';DELPHINIUS;Galaxy Type SBab;12.2;2'x1';Distance : 66 Mly
NGC6128;16h19.2m;+57°59';DRACO;Galaxy Type E0;12;1'x1';Distance : 68 Mly
NGC5949;15h28m;+64°46';DRACO;Galaxy Type Sbc;12;2'x1';Distance : 6 Mly
NGC6869;20h0.7m;+66°14';DRACO;Galaxy Type S0;12;2'x1';Distance : 39 Mly
NGC4128;12h8.5m;+68°46';DRACO;Galaxy Type S0;12;2'x1';Distance : 33 Mly
NGC6654;18h24.1m;+73°11';DRACO;Galaxy Type SB0-a;12;3'x2';Distance : 26 Mly
NGC4648;12h41.7m;+74°25';DRACO;Galaxy Type E3;12;2'x1';Distance : 20 Mly
NGC4319;12h21.7m;+75°19';DRACO;Galaxy Type SBab;12;3'x2';Distance : 21 Mly
NGC6701;18h43.2m;+60°39';DRACO;Galaxy Type SBa;12.1;2'x1';Distance : 56 Mly
NGC4521;12h32.8m;+63°56';DRACO;Galaxy Type S0-a;12.2;3'x1';Distance : 36 Mly
NGC4332;12h22.8m;+65°51';DRACO;Galaxy Type SBa;12.2;2'x2';Distance : 39 Mly
NGC3562;11h13m;+72°53';DRACO;Galaxy Type E2;12.2;2'x1';Distance : 95 Mly
NGC3403;10h53.9m;+73°41';DRACO;Galaxy Type Sbc;12.2;3'x1';Distance : 18 Mly
NGC3329;10h44.7m;+76°49';DRACO;Galaxy Type Sb;12.2;2'x1';Distance : 27 Mly
NGC1638;4h41.6m;-1°49';ERIDANUS;Galaxy Type SB0;12;2'x1';Distance : 47 Mly
NGC1200;3h3.9m;-11°59';ERIDANUS;Galaxy Type E-S0;12;3'x2';Distance : 57 Mly
