NGC7686;23h30.1m;+49°8';ANDROMEDA;Open Cluster Type IV1p;5.6;15';Distance : 5000 ly
NGC752;1h57.6m;+37°50';ANDROMEDA;Open Cluster Type III1m;5.7;75';Distance : 1500 ly
NGC7662;23h25.9m;+42°32';ANDROMEDA;Planetary Nebula;8.3;1';Distance : 6500 ly
NGC272;0h51.4m;+35°49';ANDROMEDA;Galaxy Type *Grp;8.5;5';
NGC2997;9h45.6m;-31°11';ANTLIA;Galaxy Type SBc;9.5;9'x7';Distance : 15 Mly
NGC7293;22h29.6m;-20°50';AQUARIUS;Planetary Nebula;7.3;18';Distance : 700 ly
NGC7009;21h4.2m;-11°22';AQUARIUS;Planetary Nebula;8;1';Distance : 3800 ly
NGC6709;18h51.5m;+10°20';AQUILAE;Open Cluster Type III2m;6.7;15';Distance : 3500 ly
NGC6755;19h7.8m;+4°16';AQUILAE;Open Cluster Type IV2m;7.5;15';Distance : 5800 ly
NGC6738;19h1.3m;+11°37';AQUILAE;Galaxy Type *Grp;8.3;15';
NGC6760;19h11.2m;+1°2';AQUILAE;Globular Cluster Type IX;9;10';Distance : 24100 ly
NGC2281;6h48.3m;+41°5';AURIGA;Open Cluster Type I3p;5.4;25';Distance : 1800 ly
NGC1857;5h20.1m;+39°21';AURIGA;Open Cluster Type II2m;7;10';Distance : 7800 ly
NGC1893;5h22.8m;+33°25';AURIGA;Open Cluster Type II2mn;7.5;10';Distance : 10700 ly
NGC1664;4h51.1m;+43°41';AURIGA;Open Cluster Type III1p;7.6;18';Distance : 3900 ly
NGC1778;5h8.1m;+37°1';AURIGA;Open Cluster Type III2p;7.7;8';Distance : 4700 ly
NGC1907;5h28.1m;+35°20';AURIGA;Open Cluster Type II1m;8.2;5';Distance : 4300 ly
NGC5466;14h5.5m;+28°32';BOOTES;Globular Cluster type XII;9.2;9';Distance : 52200 ly
NGC1502;4h7.8m;+62°20';CAMELOPARDA;Open Cluster Type II3p;6.9;20';Distance : 2700 ly
NGC2403;7h36.8m;+65°36';CAMELOPARDA;Galaxy Type SBc;8.5;23'x12';Distance 275 Mly
NGC4631;12h42.1m;+32°33';CANES VENAT;Galaxy Type SBcd;9.2;15'x3';Distance : 9 Mly
NGC4449;12h28.2m;+44°6';CANES VENAT;Galaxy Type IBm;9.6;6'x4';Distance : 3 Mly
NGC2362;7h18.7m;-24°57';CANIS MAJOR;Open Cluster Type I3p;3.8;6';Distance : 4500 ly
NGC2354;7h14.2m;-25°41';CANIS MAJOR;Open Cluster Type III2m;6.5;18';Distance : 12400 ly
NGC2360;7h17.7m;-15°38';CANIS MAJOR;Open Cluster Type II2m;7.2;14';Distance : 6200 ly
NGC2384;7h25.2m;-21°1';CANIS MAJOR;Open Cluster Type IV3p;7.4;5';Distance : 6900 ly
NGC2345;7h8.3m;-13°12';CANIS MAJOR;Open Cluster Type I3m;7.7;12';Distance : 7300 ly
NGC2367;7h20.1m;-21°53';CANIS MAJOR;Open Cluster Type IV3p;7.9;5';Distance : 6500 ly
NGC2374;7h23.9m;-13°16';CANIS MAJOR;Open Cluster Type II3p;8;12';Distance : 4800 ly
NGC2383;7h24.7m;-20°57';CANIS MAJOR;Open Cluster Type I3m;8.4;5';Distance : 5400 ly
NGC2204;6h15.6m;-18°40';CANIS MAJOR;Open Cluster Type III3m;8.6;10';Distance : 8600 ly
NGC2243;6h29.6m;-31°17';CANIS MAJOR;Open Cluster Type I2r;9.4;8';Distance : 14500 ly
NGC457;1h19.6m;+58°18';CASSIOPEIA;Open Cluster Type I3r;6.4;20';Distance : 7900 ly
NGC129;0h30m;+60°13';CASSIOPEIA;Open Cluster Type IV2p;6.5;12';Distance : 5300 ly
NGC654;1h44m;+61°53';CASSIOPEIA;Open Cluster Type II3m;6.5;6';Distance : 6700 ly
NGC7789;23h57.5m;+56°43';CASSIOPEIA;Open Cluster Type II2r;6.7;25';Distance : 7600 ly
NGC1027;2h42.6m;+61°36';CASSIOPEIA;Open Cluster Type III2p;6.7;15';Distance : 2500 ly
NGC225;0h43.6m;+61°46';CASSIOPEIA;Open Cluster Type III1p;7;15';Distance : 2100 ly
NGC663;1h46.3m;+61°13';CASSIOPEIA;Open Cluster Type III2m;7.1;15';Distance : 6400 ly
NGC659;1h44.4m;+60°40';CASSIOPEIA;Open Cluster Type III1p;7.9;6';Distance : 6300 ly
NGC637;1h43.1m;+64°2';CASSIOPEIA;Open Cluster Type I3p;8.2;3';Distance : 7000 ly
NGC7790;23h58.4m;+61°13';CASSIOPEIA;Open Cluster Type III2p;8.5;5';Distance : 9600 ly
NGC436;1h16m;+58°49';CASSIOPEIA;Open Cluster Type I3m;8.8;5';Distance : 9800 ly
NGC189;0h39.6m;+61°6';CASSIOPEIA;Open Cluster Type III2p;8.8;5';Distance : 4200 ly
NGC146;0h33.1m;+63°18';CASSIOPEIA;Open Cluster Type IV3p;9.1;5';Distance : 9900 ly
NGC185;2.3h39m;+48°20';CASSIOPEIA;Galaxy Type E3;9.2;8'x7';Distance : 2 Mly
NGC381;1h8.3m;+61°35';CASSIOPEIA;Open Cluster Type III2p;9.3;7';Distance : 3500 ly
NGC7788;23h56.8m;+61°24';CASSIOPEIA;Open Cluster Type I2p;9.4;4';Distance : 7700 ly
NGC133;0h31.3m;+63°21';CASSIOPEIA;Open Cluster Type IV1p;9.4;3';Distance : 2500 ly
NGC147;0h33.2m;+48°30';CASSIOPEIA;M31 Satellite Galaxy;9.5;13'x8';Distance 2.2 Mly
NGC559;1h29.5m;+63°18';CASSIOPEIA;Open Cluster Type II2m;9.5;7';Distance : 4100 ly
NGC7160;21h53.7m;+62°36';CEPHEUS;Open Cluster Type II3p;6.1;5';Distance : 2600 ly
NGC7380;22h47.4m;+58°8';CEPHEUS;Open Cluster Type III3pn;7.2;20';Distance : 7200 ly
NGC7235;22h12.4m;+57°16';CEPHEUS;Open Cluster Type II3m;7.7;6';
NGC6939;20h31.5m;+60°40';CEPHEUS;Open Cluster Type I1m;7.8;10';Distance : 3900 ly
NGC7510;23h11.1m;+60°34';CEPHEUS;Open Cluster Type II2m;7.9;7';Distance : 6800 ly
NGC188;0h47.5m;+85°16';CEPHEUS;Open Cluster Type II2r;8.1;15';Distance : 6500 ly
NGC7261;22h20.2m;+58°7';CEPHEUS;Open Cluster Type III1p;8.4;6';Distance : 5500 ly
