Sigm 191;2h04m;+73°53';CASSIOPEIA;double star;6.1 and 8.9;5.3;Double stars White and Yellow
Sigm 3053;0h03m;+66°09';CASSIOPEIA;double star;5.8 and 7.2;15;Double stars Yellow and Blue
Achird;0h50m;+57°52';CASSIOPEIA;double star;3.4 and 7.3;10;Double stars Yellow and Red
Alfirk;21h29m;+70°36';CEPHEUS;double star;3.2 and 8.6;13;Double stars Blue and Green
Kappa Cep.;20h09m;+77°44';CEPHEUS;double star;4.4 and 8.3;7.4;Double stars Green and Blue
Kurhar;22h04m;+64°40';CEPHEUS;double star;4.3 and 6.3;8;Double stars Green and White
o Cep.;23h19m;+68°10';CEPHEUS;double star;4.8 and 7.3;3.4;Double stars Yellow and Blue
66 Ceti;2h13m;-2°21';CETUS;double star;5.6 and 7.5;16;Double stars Yellow and Blue
37 Ceti;11h15m;-7°52';CETUS;double star;5.1 and 7.8;49;Double stars Yellow and Orange
Zeta Comae;12h05m;+21°24';COMA BERENI;double star;5.9 and 7.4;3.7;Double stars White and Blue
24 Comae;12h35m;+18°19';COMA BERENI;double star;4.9 and 6.6;19;Double stars Yellow and Blue
35 Comae;12h54m;+21°12';COMA BERENI;multiple star;4.9 and 7.1;0.9;Multiple stars : Yellow, Blue and White
Zeta Cor.;15h40m;+36°36';CORONA BOR;double star;4.6 and 5.9;6.3;Double stars : Blue
Algorab;12h30m;-16°34';CORVUS;double star;2.9 and 9.3;23;Double stars Yellow and Purple
16 Cygni;19h42m;+50°33';CYGNUS;double star;5.9 and 6.3;39;Double stars : Orange
Sigm 2486;19h12m;+49°52';CYGNUS;double star;5.8 and 6.6;7.4;Double stars : Yellow
Delta Cygni;19h45m;+45°09';CYGNUS;double star;2.8 and 6.2;3.6;Double stars Green and Red
Albireo;19h31m;+27°59';CYGNUS;double star;3.1 and 5.1;34;Double stars Orange and Blue
61 Cygni;21h07m;+38°47';CYGNUS;double star;5.2 and 5.9;92;Double stars Yellow and Orange
o Cyg.;20h14m;+46°46';CYGNUS;multiple star;3.8 and 6.9;106;Multiple stars : Orange, Blue, 2 White and Red
Gamma Del.;20h47m;+16°09';DELPHINUS;double star;4.2 and 5.1;9;Double stars Orange and Green
Alrakis;17h06m;+54°27';DRACO;double star;4.9 and 5.6;2.1;Double stars : White
Dsiban;17h42m;+72°08';DRACO;double star;4.6 and 5.8;31;Double stars : White
Tyl;19h48m;+70°17';DRACO;double star;3.8 and 6.8;2.4;Double stars Yellow and Blue
32 Eridani;3h54m;-2°56';ERIDANUS;double star;4.4 and 5.8;7;Double stars Yellow and Blue
55 Eridani;4h44m;-8°47';ERIDANUS;double star;5.9 and 6.6;9.2;Double stars Yellow and White
Sigm 1108;7h33m;+22°52';GEMINI;double star;6.5 and 8.8;11;Double stars : Yellow
Propus;6h15m;+48°35';GEMINI;double star;3.3 and 6.1;0.8;Double stars Orange and Yellow
Castor;7h35m;+31°52;GEMINI;multiple star;1.6 and 2.9;3.1;Multiple stars : 3 White and Orange
Marfik;16h08m;+17°03';HERCULES;double star;5.1 and 6.3;27;Double stars : Yellow
95 Herculis;18h01m;+21°36';HERCULES;double star;4.3 and 5.1;6.3;Double stars Green and Orange
Ras Algethi;17h15m;+14°23';HERCULES;double star;2.8 and 5.3;4.8;Double stars Red and Green
